country_code,country_name,indicator_id,indicator_name,year,value
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,37.5465361301281
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,43.8399208514876
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,41.2078149304414
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,38.4400001654616
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,46.25880051
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,42.24380112
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,40.12559891
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,38.89260101
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,37.69749832
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,36.53919983
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,29.70000076
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,23.2029719748646
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,20.60000038
CMR,Cameroon,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,18.29999924
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,72.17569733
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,70.67430115
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,69.91329956
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,68.6
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,62.51760101
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,22.0732
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,43
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,37.88420105
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,28
GHA,Ghana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,23
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,33.30469894
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,32.31560135
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,31.31399918
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,28.61330032
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,26.14550018
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,23.89049911
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,21.8300230430563
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,18.70000076
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,13.10000038
GIN,Guinea,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,9.199999809
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,36.80149841
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,36.03879929
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,35.19919968
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,33.95650101
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,29.11300087
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,24.96030045
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,21.39999962
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,18.89999962
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,14
MLI,Mali,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,10.32999992
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,15.55760002
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,12.98079967
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,13.08749962
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,12.45689964
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,11.85680008
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,11.28549957
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,10.74180031
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,10.2243115586561
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,4.322800159
NER,Niger,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,2.476200104
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,41.21139908
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,40.06399918
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,39.14720154
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,35.50979996
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,31.88879967
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,29.74410057
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,27.74370003
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,25.87789917
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,24.13750076
NGA,Nigeria,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,22.51420021
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,60.11780167
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,59.18740082
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,56.82830048
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,55.04040146
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,53.30879974
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,43.37969971
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,35.29999924
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,29.64310074
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,25.66480064
SEN,Senegal,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,21.70000076
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,39.48320007
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,37.57020187
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,35.60749817
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,30.33839989
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,29.02370071
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,20.72730064
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,15.5
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,12.3602249692905
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,11.31000042
TGO,Togo,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,7.119999886
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,40.70479965
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,37.88589859
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,35.83800125
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,34.55649948
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,33.32089996
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,32.12939835
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,29
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,26
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,23.20000076
AGO,Angola,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,22
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,57.45950036
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,57.9
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,54.70069885
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,51.67819977
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,48.82279968
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,46.12509918
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,43.57640076
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,41.16859818
BWA,Botswana,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,38.89379883
