country_code,country_name,year,incidence_per_1000,low,high,parent_region
TCD,TCD,2016,214.2996233,130.6576532,329.4489723,Africa
DZA,DZA,2022,0.0,0.0,0.0,Africa
BWA,BWA,2017,1.955008195,1.505832086,2.671018301,Africa
ETH,ETH,2015,130.0601358,49.51826995,238.8060232,Africa
MWI,MWI,2024,294.5279965,191.2981685,431.3356252,Africa
COG,COG,2016,215.7471006,132.906092,332.0715501,Africa
COM,COM,2020,5.667177369,5.667177369,5.667177369,Africa
NAM,NAM,2017,44.80569541,35.58663021,54.80377814,Africa
ZMB,ZMB,2011,181.1215632,141.5864975,227.5588014,Africa
BDI,BDI,2016,321.3045726,256.7899113,397.6015377,Africa
MOZ,MOZ,2019,323.9677718,255.761796,404.1198303,Africa
MRT,MRT,2019,60.21141041,21.31401605,122.0987976,Africa
MDG,MDG,2019,71.72675373,49.00686772,96.31751976,Africa
GNB,GNB,2015,89.59470594,36.92541266,185.2420938,Africa
ETH,ETH,2012,159.6738451,78.7492631,366.039927,Africa
MRT,MRT,2021,26.24652736,11.92760356,48.30844496,Africa
COM,COM,2012,73.11895474,73.11895474,73.11895474,Africa
MYT,MYT,2023,0.0,0.0,0.0,Africa
COG,COG,2020,240.8405313,144.0523294,380.1714994,Africa
ZWE,ZWE,2018,53.61458214,33.18225113,75.77238244,Africa
CIV,CIV,2014,243.2454812,174.1912981,332.7289741,Africa
GHA,GHA,2023,194.918396,144.1574959,257.2898019,Africa
ZMB,ZMB,2021,240.9800401,194.8196268,295.5630818,Africa
UGA,UGA,2011,382.8950377,302.7692832,478.1518652,Africa
SWZ,SWZ,2016,0.7767304,0.7767304,0.7767304,Africa
GNB,GNB,2010,124.5395334,70.8174471,204.3019231,Africa
GHA,GHA,2020,219.6265037,168.1247565,282.8304384,Africa
NGA,NGA,2019,292.9999532,226.4616604,376.2231471,Africa
CPV,CPV,2020,0.0,0.0,0.0,Africa
ZWE,ZWE,2022,28.90136636,17.37074701,41.30337737,Africa
ZWE,ZWE,2010,104.3780603,56.77171274,166.0582092,Africa
GHA,GHA,2017,226.1852816,173.1852387,290.2046668,Africa
NAM,NAM,2016,16.55471625,13.10657886,20.23021499,Africa
MDG,MDG,2024,255.4457137,163.1685603,354.7227274,Africa
TCD,TCD,2010,244.6646967,195.7948745,301.6637451,Africa
BWA,BWA,2014,1.441645643,1.122205857,1.928478821,Africa
GNQ,GNQ,2021,239.5754799,158.3353376,344.5265513,Africa
UGA,UGA,2013,310.2735934,244.5639317,387.7544695,Africa
MDG,MDG,2010,44.52075296,25.72563464,72.14342948,Africa
BFA,BFA,2021,378.5779953,251.2821159,547.8608465,Africa
GIN,GIN,2020,304.9429508,218.4423716,415.3234628,Africa
MWI,MWI,2019,280.2880012,185.0099394,404.4764709,Africa
BEN,BEN,2013,362.1389931,279.104852,462.2210679,Africa
SLE,SLE,2015,367.8219521,294.0538965,455.2095904,Africa
COD,COD,2019,339.7696948,263.5523299,432.1087228,Africa
CIV,CIV,2015,242.1159469,160.0412309,353.2421994,Africa
GIN,GIN,2021,294.4452917,227.6138245,376.2573928,Africa
RWA,RWA,2014,202.3026977,151.95914,254.4458672,Africa
BDI,BDI,2012,232.2408628,177.5863921,298.7498867,Africa
CIV,CIV,2024,267.9490628,178.2778362,388.4717441,Africa
ETH,ETH,2016,92.88594821,38.87483249,171.829705,Africa
BFA,BFA,2014,446.1424833,358.4627996,548.5989643,Africa
CAF,CAF,2020,376.0841264,184.8594575,694.6301278,Africa
COD,COD,2013,310.4858404,244.5488162,388.0534292,Africa
BDI,BDI,2014,250.8557346,185.5332074,331.5431094,Africa
BEN,BEN,2021,378.2004988,277.2783139,502.1958182,Africa
SEN,SEN,2010,60.3964477,42.41050074,80.33369232,Africa
BEN,BEN,2012,365.180444,287.1751444,456.3219964,Africa
SSD,SSD,2019,285.9328602,189.3208386,416.6272513,Africa
NGA,NGA,2012,316.2204182,255.2395212,389.0072903,Africa
UGA,UGA,2023,267.5743421,155.9123155,426.1067717,Africa
NER,NER,2022,305.1436384,177.367875,490.0496625,Africa
BFA,BFA,2015,417.9542768,330.7179829,520.5577775,Africa
SEN,SEN,2012,53.04235891,36.79315546,71.89512463,Africa
GNB,GNB,2020,95.17125252,34.27038552,208.7548025,Africa
BWA,BWA,2013,0.510840745,0.398103477,0.68558351,Africa
GHA,GHA,2016,244.9214645,188.9942577,312.9126842,Africa
ZWE,ZWE,2011,67.44538249,44.33334037,93.00385516,Africa
MWI,MWI,2016,260.9226051,199.7808687,337.0372148,Africa
MLI,MLI,2019,325.7605808,229.9300212,462.4161504,Africa
SWZ,SWZ,2023,1.73274008,1.73274008,1.73274008,Africa
COG,COG,2015,210.6150369,131.0408665,318.5606454,Africa
BFA,BFA,2010,568.369186,457.420064,696.0914671,Africa
SLE,SLE,2024,282.6656771,153.5705359,474.1438433,Africa
MDG,MDG,2014,49.79904983,34.92558334,68.19904768,Africa
COD,COD,2024,321.8929684,243.1034179,416.9310771,Africa
UGA,UGA,2020,255.6631833,197.2209888,326.4055416,Africa
DZA,DZA,2017,0.0,0.0,0.0,Africa
TGO,TGO,2014,368.9771092,301.9169148,446.0527304,Africa
CPV,CPV,2022,0.0,0.0,0.0,Africa
CIV,CIV,2011,461.5794301,379.9139394,557.1371141,Africa
GNQ,GNQ,2020,244.2993403,164.9688343,349.38305,Africa
BEN,BEN,2011,382.9891408,301.8670229,480.1837953,Africa
BWA,BWA,2012,0.217458171,0.167385566,0.321179997,Africa
GHA,GHA,2014,313.806791,250.8492332,387.7960094,Africa
MDG,MDG,2016,63.37210888,44.49089217,86.1709238,Africa
CMR,CMR,2010,295.6715724,225.970281,379.6385331,Africa
