country_code,year,deaths_count,low,high,parent_region
ZAF,2011,54.0,,,Africa
COD,2020,75025.0,50200.0,115000.0,Africa
AGO,2012,11144.0,8880.0,14300.0,Africa
UGA,2012,22473.0,21200.0,23900.0,Africa
GNQ,2015,781.0,660.0,940.0,Africa
GHA,2014,14384.0,13800.0,15000.0,Africa
BEN,2012,8246.0,7660.0,8890.0,Africa
TZA,2021,25155.0,23600.0,27100.0,Africa
AGO,2013,11219.0,8780.0,14700.0,Africa
MOZ,2012,23302.0,20800.0,26300.0,Africa
TZA,2020,24568.0,23100.0,26300.0,Africa
CIV,2011,26496.0,24600.0,28600.0,Africa
LBR,2023,3541.0,2840.0,4700.0,Africa
ERI,2011,141.0,57.0,260.0,Africa
SSD,2010,6835.0,5410.0,8540.0,Africa
MYT,2015,1.0,1.0,1.0,Africa
BFA,2020,18937.0,12900.0,28600.0,Africa
MWI,2017,7024.0,6380.0,7840.0,Africa
TZA,2018,23280.0,22400.0,24300.0,Africa
MWI,2011,10264.0,9740.0,10800.0,Africa
CAF,2019,4001.0,3370.0,4750.0,Africa
BWA,2013,7.0,,,Africa
SSD,2017,7823.0,4740.0,12700.0,Africa
MWI,2019,6892.0,6140.0,7960.0,Africa
TCD,2015,12898.0,11300.0,14600.0,Africa
NAM,2010,63.0,,,Africa
MOZ,2018,18980.0,14900.0,25500.0,Africa
MYT,2014,1.0,1.0,1.0,Africa
MDG,2013,3795.0,1550.0,7460.0,Africa
NGA,2021,190761.0,146000.0,258000.0,Africa
MDG,2011,2091.0,800.0,4020.0,Africa
GAB,2015,392.0,350.0,450.0,Africa
GAB,2023,433.0,370.0,540.0,Africa
SEN,2018,2682.0,1120.0,4840.0,Africa
TZA,2019,23560.0,22600.0,24700.0,Africa
SLE,2013,11459.0,10600.0,12400.0,Africa
GHA,2011,17163.0,16500.0,17900.0,Africa
BFA,2023,16146.0,11300.0,24100.0,Africa
CIV,2023,10771.0,9210.0,12700.0,Africa
MYT,2018,3.0,3.0,3.0,Africa
COM,2017,9.0,4.0,15.0,Africa
GNQ,2014,778.0,660.0,930.0,Africa
GHA,2015,13260.0,12700.0,13900.0,Africa
